index,db,name,tissue,ann,ann_simplify,CL,translate
HCL_Intestine_Absorptive cell,HCL,Adult-JeJunum2,Intestine,Absorptive cell,Absorptive cell,enterocyte,肠上皮细胞
MCA_Intestine_Acinar cell,MCA,Fetal-Intestine,Intestine,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Intestine_Acinar cell,MCA,Neonatal-Intestine,Intestine,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Liver_Acinar cell,MCA,Three-Weeks-Liver,Liver,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Omentum_Acinar cell,MCA,Adult-Omentum,Omentum,Acinar cell,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell,HCL,Adult-Pancreas_Baron,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell,HCL,Adult-Pancreas_Segerstolpe,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell,HCL,Adult-Pancreas_Muraro,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Pancreas_Acinar cell,MCA,Adult-Pancreas,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Pancreas_Acinar cell,MCA,Eighteen-Months-Pancreas,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Pancreas_Acinar cell,MCA,Fetal-Pancreas,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Pancreas_Acinar cell,MCA,Three-Weeks-Pancreas,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Pancreas_Acinar cell,MCA,One-Year-Pancreas,Pancreas,Acinar cell,Acinar cell,acinar cell,腺泡细胞
MCA_Stomach_Acinar cell,MCA,Fetal-Stomach,Stomach,Acinar cell,Acinar cell,glandular cell of stomach,胃腺细胞
MCA_Stomach_Acinar cell,MCA,Two-Years-Stomach,Stomach,Acinar cell,Acinar cell,glandular cell of stomach,胃腺细胞
HCL_Pancreas_Acinar cell_ANXA4 high,HCL,Adult-Pancreas1,Pancreas,Acinar cell_ANXA4 high,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell_CLPS high,HCL,Fetal-Pancreas2,Pancreas,Acinar cell_CLPS high,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell_CPA1 high,HCL,Adult-Pancreas1,Pancreas,Acinar cell_CPA1 high,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell_CPA2 high,HCL,Fetal-Pancreas3,Pancreas,Acinar cell_CPA2 high,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell_CPA2 high,HCL,Fetal-Pancreas2,Pancreas,Acinar cell_CPA2 high,Acinar cell,acinar cell,腺泡细胞
HCL_Pancreas_Acinar cell_REG1B high,HCL,Adult-Pancreas1,Pancreas,Acinar cell_REG1B high,Acinar cell,acinar cell,腺泡细胞
MCA_Pancreas_Activated stellate,MCA,Pancreatic-Islet,Pancreas,Activated stellate,Activated stellate,pancreatic stellate cell,胰腺星状细胞
HCL_Liver_Activated T cell,HCL,Adult-Liver1,Liver,Activated T cell,Activated T cell,T cell,T细胞
HCL_Liver_Activated T cell,HCL,Adult-Liver4,Liver,Activated T cell,Activated T cell,T cell,T细胞
HCL_Liver_Activated T cell,HCL,Adult-Liver2,Liver,Activated T cell,Activated T cell,T cell,T细胞
HCL_Peripheral-Blood_Activated T cell,HCL,Adult-Peripheral-Blood4,Peripheral-Blood,Activated T cell,Activated T cell,T cell,T细胞
HCL_Thymus_Activated T cell,HCL,Fetal-Thymus2,Thymus,Activated T cell,Activated T cell,T cell,T细胞
HCL_Thymus_Activated T cell,HCL,Fetal-Thymus1,Thymus,Activated T cell,Activated T cell,T cell,T细胞
HCL_Pancreas_Activated_stellate cell,HCL,Adult-Pancreas_Baron,Pancreas,Activated_stellate cell,Activated_stellate cell,pancreatic stellate cell,胰腺星状细胞
HCL_Lung_Actived T cell,HCL,Adult-Lung3,Lung,Actived T cell,Actived T cell,T cell,T细胞
MCA_Placenta_Actived T cell,MCA,Placenta,Placenta,Actived T cell,Actived T cell,T cell,T细胞
MCA_Prostate_Actived T cell,MCA,Eighteen-Months-Prostate,Prostate,Actived T cell,Actived T cell,T cell,T细胞
MCA_Thymus_Actived T cell,MCA,Adult-Thymus,Thymus,Actived T cell,Actived T cell,T cell,T细胞
MCA_Thymus_Actived T cell,MCA,Eighteen-Months-Thymus,Thymus,Actived T cell,Actived T cell,T cell,T细胞
