tissue,sp_ref,path_ref,name_ref,sp_simple_ref,sp_que,path_que,name_que,sp_simple_que,key_cell_type
Adrenal-Gland,human,healthy/HCL_Adrenal-Gland,h_adr,h,mouse,healthy/MCA_Adrenal-Gland,m_adr,m,CL
Bone-Marrow,human,healthy/HCL_Bone-Marrow,h_bon,h,mouse,healthy/MCA_Bone-Marrow,m_bon,m,CL
Brain,human,healthy/HCL_Brain,h_bra,h,mouse,healthy/MCA_Brain,m_bra,m,CL
Heart,human,healthy/HCL_Heart,h_hea,h,mouse,healthy/MCA_Heart,m_hea,m,CL
Intestine,human,healthy/HCL_Intestine,h_int,h,mouse,healthy/MCA_Intestine,m_int,m,CL
Kidney,human,healthy/HCL_Kidney,h_kid,h,mouse,healthy/MCA_Kidney,m_kid,m,CL
Liver,human,healthy/HCL_Liver,h_liv,h,mouse,healthy/MCA_Liver,m_liv,m,CL
Lung,human,healthy/HCL_Lung,h_lun,h,mouse,healthy/MCA_Lung,m_lun,m,CL
Spleen,human,healthy/HCL_Spleen,h_spl,h,mouse,healthy/MCA_Spleen,m_spl,m,CL
Adrenal-Gland,mouse,healthy/MCA_Adrenal-Gland,m_adr,m,human,healthy/HCL_Adrenal-Gland,h_adr,h,CL
Bone-Marrow,mouse,healthy/MCA_Bone-Marrow,m_bon,m,human,healthy/HCL_Bone-Marrow,h_bon,h,CL
Brain,mouse,healthy/MCA_Brain,m_bra,m,human,healthy/HCL_Brain,h_bra,h,CL
Heart,mouse,healthy/MCA_Heart,m_hea,m,human,healthy/HCL_Heart,h_hea,h,CL
Intestine,mouse,healthy/MCA_Intestine,m_int,m,human,healthy/HCL_Intestine,h_int,h,CL
Kidney,mouse,healthy/MCA_Kidney,m_kid,m,human,healthy/HCL_Kidney,h_kid,h,CL
Liver,mouse,healthy/MCA_Liver,m_liv,m,human,healthy/HCL_Liver,h_liv,h,CL
Lung,mouse,healthy/MCA_Lung,m_lun,m,human,healthy/HCL_Lung,h_lun,h,CL
Spleen,mouse,healthy/MCA_Spleen,m_spl,m,human,healthy/HCL_Spleen,h_spl,h,CL
