path,name,sp_ref,sp_que
zebrafish_to_mouse.txt,zebrafish_to_mouse,zebrafish,mouse
zebrafish_to_xenopus.txt,zebrafish_to_xenopus,zebrafish,xenopus
human_to_macaque.txt,human_to_macaque,human,macaque
human_to_mouse.txt,human_to_mouse,human,mouse
macaque_to_pig.txt,macaque_to_pig,macaque,pig
pig_to_mouse.txt,pig_to_mouse,pig,mouse
zebrafish_to_human.txt,zebrafish_to_human,zebrafish,human
chicken_to_zebrafish.txt,chicken_to_zebrafish,chicken,zebrafish
xenopus_to_zebrafish.txt,xenopus_to_zebrafish,xenopus,zebrafish
pig_to_macaque.txt,pig_to_macaque,pig,macaque
human_to_zebrafish.txt,human_to_zebrafish,human,zebrafish
mouse_to_macaque.txt,mouse_to_macaque,mouse,macaque
zebrafish_to_chicken.txt,zebrafish_to_chicken,zebrafish,chicken
mouse_to_pig.txt,mouse_to_pig,mouse,pig
macaque_to_mouse.txt,macaque_to_mouse,macaque,mouse
mouse_to_human.txt,mouse_to_human,mouse,human
mouse_to_zebrafish.txt,mouse_to_zebrafish,mouse,zebrafish
macaque_to_human.txt,macaque_to_human,macaque,human
