author,color,group,id
JosefAlbers,"#D77186,#61A2DA,#6CB7DA,#b5b5b3,#D75725",A,0
JosefAlbers,"#C00559,#DE1F6C,#F3A20D,#F07A13,#DE6716",A,1
GretchenAlbrecht,"#171635,#00225D,#763262,#CA7508,#E9A621",A,0
BillyApple,"#F24D98,#813B7C,#59D044,#F3A002,#F2F44D",A,0
PerArnoldi,"#C2151B,#2021A0,#3547B3,#E2C43F,#E0DCDD",A,0
MiltonAvery,"#F3C937,#7B533E,#BFA588,#604847,#552723",A,0
MiltonAvery,"#E2CACD,#2E7CA8,#F1C061,#DA7338,#741D13",A,1
HilmaafKlint,"#D6CFC4,#466CA6,#D1AE45,#87240E,#040204",K,0
Jean-MichelBasquiat,"#8CABD9,#F6A7B8,#F1EC7A,#1D4D9F,#F08838",B,0
Jean-MichelBasquiat,"#C11432,#009ADA,#66A64F,#FDD10A,#070707",B,1
MaxBeckmann,"#4B3A51,#A77A4B,#ECC6A2,#A43020,#722D24",B,0
FernandoBotero,"#99B6BD,#B3A86A,#ECC9A0,#D4613E,#BB9568",B,0
SandroBotticelli,"#7A989A,#849271,#C1AE8D,#CF9546,#C67052",B,0
SandroBotticelli,"#272725,#DDBD85,#DA694F,#A54A48,#FDFFE5",B,1
PieterBruegel,"#BFBED5,#7F9086,#A29A68,#676A4F,#A63C24",B,0
JackBush,"#529DCB,#ECA063,#71BF50,#F3CC4F,#D46934",B,0
JackBush,"#A1D8B6,#D2C48E,#F45F40,#F9AE8D,#80B9CE",B,1
MaryCassatt,"#1C5679,#BBB592,#CAC3B2,#808C5C,#5F4B3B",C,0
PaulCézanne,"#8399B3,#697A55,#C4AA88,#B68E52,#8C5B28",C,0
MarcChagall,"#3F6F76,#69B7CE,#C65840,#F4CE4B,#62496F",C,0
C.M.Coolidge,"#204035,#4A7169,#BEB59C,#735231,#49271B",C,0
SalvadorDalí,"#40798C,#bca455,#bfb37f,#805730,#514A2E",D,0
SalvadorDalí,"#9BC0CC,#CAD8D8,#D0CE9F,#806641,#534832",D,1
LeonardodaVinci,"#C8B272,#a88b4c,#a0a584,#697153,#43362a",V,0
GeneDavis,"#293757,#568D4B,#D5BB56,#D26A1B,#A41D1A",D,0
GiorgiodeChirico,"#27403D,#48725C,#212412,#F3E4C2,#D88F2E",C,0
GiorgiodeChirico,"#2992BF,#4CBED9,#292C17,#F9F6EF,#F0742A",C,1
EdgarDegas,"#BDB592,#ACBBC5,#9E8D3D,#8C4F36,#2C2D2C",D,0
RobertDelaunay,"#4368B6,#78A153,#DEC23B,#E4930A,#C53211",D,0
RobertDelaunay,"#A4B7E1,#B8B87A,#EFDE80,#EFBD37,#A85E5E",D,1
CharlesDemuth,"#e4af79,#df9c41,#af7231,#923621,#2D2A28",D,0
RichardDiebenkorn,"#2677A5,#639BC1,#639BC1,#90A74A,#5D8722",D,0
OttoDix,"#1E1D20,#B66636,#547A56,#BDAE5B,#515A7C",D,0
