Gene name,Chicken gene name,Chicken homology type
fgd5b,FGD5,ortholog_one2many
ptafr,PTAFR,ortholog_one2one
si:ch211-195e19.1,,ortholog_one2many
guca1e,GUCA1A,ortholog_one2many
czib,C8H1orf123,ortholog_one2one
dclk2b,DCLK2,ortholog_one2many
ccnt2b,CCNT2,ortholog_one2many
nrxn2b,,ortholog_one2many
ptgdsb.1,LCN15,ortholog_many2many
ptgdsb.1,EXFABP,ortholog_many2many
cuedc2,CUEDC2,ortholog_one2one
sugt1,SUGT1,ortholog_one2one
sri,SRI,ortholog_one2one
hpgd,HPGD,ortholog_one2one
cdc73,CDC73,ortholog_one2one
ammecr1,AMMECR1,ortholog_one2one
pdzd8,PDZD8,ortholog_one2one
vav3a,VAV3,ortholog_one2many
camk1gb,CAMK1G,ortholog_one2many
ghrb,IL11RA,ortholog_many2many
ghrb,IL6R,ortholog_many2many
ghrb,,ortholog_many2many
ghrb,GHR,ortholog_many2many
ghrb,OSMR,ortholog_many2many
ghrb,CRLF2,ortholog_many2many
ghrb,IL13RA1,ortholog_many2many
tbx19,TBX19,ortholog_one2one
hacd2,HACD2,ortholog_one2one
BLTP2,BLTP2,ortholog_one2one
dnajc11a,DNAJC11,ortholog_one2many
pigo,PIGO,ortholog_one2one
rpl29,RPL29,ortholog_one2one
nt5c3a,NT5C3A,ortholog_one2one
b4galt7,B4GALT7,ortholog_one2one
slc30a6,SLC30A6,ortholog_one2one
brd7,BRD7,ortholog_one2one
zgc:114123,,ortholog_one2one
si:dkey-28b4.7,POLD4,ortholog_one2one
map1ab,MAP1A,ortholog_one2many
nt5c2b,NT5C2,ortholog_one2many
mxb,MX1,ortholog_one2many
ndufs7,NDUFS7,ortholog_one2one
tll1,TLL1,ortholog_one2one
hsf4,HSF4,ortholog_one2one
sult3st1,,ortholog_one2many
lrfn1,LRFN1,ortholog_one2one
sez6l,SEZ6L,ortholog_one2one
drap1,DRAP1,ortholog_one2one
DOCK4,DOCK4,ortholog_one2many
scn8aa,SCN8A,ortholog_one2many
otud6b,OTUD6A,ortholog_one2one
tspan18b,TSPAN18,ortholog_one2many
zmynd8,ZMYND8,ortholog_one2many
slc4a4b,SLC4A4,ortholog_one2many
tbc1d16,TBC1D16,ortholog_one2one
cnksr2b,CNKSR2,ortholog_one2many
ints14,VWA9,ortholog_one2one
hmgcl,HMGCL,ortholog_one2one
exoc2,EXOC2,ortholog_one2one
slc35a1,SLC35A1,ortholog_one2one
cadm3,CADM3,ortholog_one2one
adgrd1,ADGRD1,ortholog_one2one
mpc1,MPC1L,ortholog_one2one
vmo1b,VMO1,ortholog_one2many
ptchd1,,ortholog_one2one
ndufa4l,NDUFA4,ortholog_one2many
ADGRL3,ADGRL3,ortholog_one2many
galk1,GALK1,ortholog_one2one
fgfr1op2,FGFR1OP2,ortholog_one2one
mei4,MEI4,ortholog_one2one
casp3a,CASP3,ortholog_one2many
si:dkey-285e18.2,NSD1,ortholog_one2many
hectd2,HECTD2,ortholog_one2one
slc16a4,SLC16A4,ortholog_one2one
usp53b,USP53,ortholog_one2many
niban1b,FAM129A,ortholog_one2many
mov10b.2,MOV10,ortholog_one2many
LECT2,LECT2,ortholog_one2many
wt1a,WT1,ortholog_one2many
pex13,PEX13,ortholog_one2one
nfxl1,NFXL1,ortholog_one2one
soga3a,SOGA3,ortholog_one2many
tagln2,TAGLN,ortholog_one2many
naglu,NAGLU,ortholog_one2one
cbx5,CBX5,ortholog_one2one
ugt2a6,,ortholog_one2many
pik3ca,PIK3CA,ortholog_one2one
surf6,SURF6,ortholog_one2one
larp4b,LARP4B,ortholog_one2one
stc2a,STC2,ortholog_one2many
capn9,CAPN9,ortholog_one2one
pdzd11,PDZD11,ortholog_one2one
faah2a,,ortholog_one2many
lcp2b,LCP2,ortholog_one2many
fam160a1b,FHIP1A,ortholog_one2many
znf277,ZNF277,ortholog_one2one
glmp,GLMP,ortholog_one2one
prpf3,PRPF3,ortholog_one2one
lamtor5,LAMTOR5,ortholog_one2one
luzp1,LUZP1,ortholog_one2one
lect2l,LECT2,ortholog_one2many
ERC1,ERC1,ortholog_one2many
uchl1,UCHL1,ortholog_one2one
si:ch211-51f19.1,STOX1,ortholog_one2one
kyat1,KYAT1,ortholog_one2one
cited4b,CITED4,ortholog_one2many
hacd3,HACD3,ortholog_one2one
slc43a2b,SLC43A2,ortholog_one2many
tbx15,TBX15,ortholog_one2one
erc1b,ERC1,ortholog_one2many
hhipl2,HHIPL2,ortholog_one2one
thrb,THRB,ortholog_one2one
diras1a,DIRAS1,ortholog_one2many
b3galt2,B3GALT2,ortholog_one2one
fam120b,FAM120B,ortholog_one2one
tmc5,TMC5,ortholog_one2one
cfap126,CFAP126,ortholog_one2one
med13a,MED13,ortholog_one2many
si:dkey-88e18.2,,ortholog_one2one
zbtb34,ZBTB34,ortholog_one2one
cib1,CIB1,ortholog_one2one
selenop2,SELENOP2,ortholog_one2one
CABP4,CABP4,ortholog_one2one
prok1,PROK1,ortholog_many2many
prok1,PROK2,ortholog_many2many
dennd10,FAM45A,ortholog_one2one
rx2,RAX2,ortholog_one2many
kif4,KIF4B,ortholog_one2one
lactbl1b,LACTBL1,ortholog_one2one
gdnfa,GDNF,ortholog_one2many
trim9,TRIM9,ortholog_one2one
tbc1d4,TBC1D4,ortholog_one2one
itgb1bp1,ITGB1BP1,ortholog_one2one
slc24a1,SLC24A1,ortholog_one2one
wfs1b,WFS1,ortholog_one2many
ccnq,,ortholog_one2one
ensab,ENSA,ortholog_one2many
irx4a,IRX4,ortholog_one2many
nomo,,ortholog_one2one
phpt1,PHPT1,ortholog_one2one
arhgef1b,,ortholog_one2one
phax,PHAX,ortholog_one2one
hormad1,HORMAD2,ortholog_one2many
hormad1,HORMAD1,ortholog_one2many
snx3,SNX3,ortholog_one2one
ddx31,DDX31,ortholog_one2one
cuedc1a,CUEDC1,ortholog_one2many
UTP14C,,ortholog_one2one
ssna1,,ortholog_one2one
gdpd2,GDPD2,ortholog_one2one
rbbp8l,RBBP8NL,ortholog_one2one
si:ch211-266k22.6,FAM217B,ortholog_one2many
ormdl2,ORMDL2,ortholog_one2one
babam2,BRE,ortholog_one2one
brwd3,BRWD3,ortholog_one2one
gpia,GPI,ortholog_one2many
slc39a8,SLC39A8,ortholog_one2many
abo,GBGT1,ortholog_one2many
GDPGP1,GDPGP1,ortholog_one2one
cd248a,CD248,ortholog_one2many
clcn6,CLCN6,ortholog_one2one
zfhx3,ZFHX3,ortholog_one2one
nol7,NOL7,ortholog_one2one
aak1b,AAK1,ortholog_one2many
wdr48b,WDR48,ortholog_one2many
erfl3,,ortholog_one2many
si:dkey-285e18.6,,ortholog_one2many
gatd3a,GATD3A,ortholog_one2one
pola1,POLA1,ortholog_one2one
tm7sf3,TM7SF3,ortholog_one2one
ccdc13,,ortholog_one2one
cxcr2,CXCR1,ortholog_one2one
supv3l1,SUPV3L1,ortholog_one2one
sept3,SEPTIN3,ortholog_one2one
ptger3,PTGER3,ortholog_one2one
snx33,SNX33,ortholog_one2one
eif3ea,EIF3E,ortholog_one2many
alkal1,ALKAL1,ortholog_one2one
pus3,PUS3,ortholog_one2one
lrp8,LRP8,ortholog_one2one
stam2,STAM2,ortholog_one2one
sin3b,SIN3B,ortholog_one2one
surf1,SURF1,ortholog_one2one
slc2a3b,,ortholog_many2many
slc2a3b,SLC2A11L4,ortholog_many2many
inpp5kb,INPP5K,ortholog_one2many
pex6,PEX6,ortholog_one2one
rbks,RBKS,ortholog_one2one
ppp1r3db,PPP1R3D,ortholog_one2many
SANBR,KIAA1841,ortholog_one2one
smg1,SMG1,ortholog_one2one
klhl23,KLHL23,ortholog_one2one
cers4a,,ortholog_many2many
ugt2a5,,ortholog_one2many
bckdhbl,SIGLEC15,ortholog_one2many
mettl5,METTL5,ortholog_one2one
slc35b1,SLC35B1,ortholog_one2one
lipeb,,ortholog_one2many
vrk1,VRK1,ortholog_one2one
mapk13,MAPK13,ortholog_one2one
cabz01076234.2,,ortholog_many2many
CABZ01083442.1,,ortholog_one2one
atf7ip,ATF7IP,ortholog_one2one
sat1a.2,SAT1,ortholog_one2many
dusp5,DUSP5,ortholog_one2one
iqcg,IQCG,ortholog_one2one
map7d3,MAP7D3,ortholog_one2one
rnf121,RNF175,ortholog_one2one
pdxkb,PDXK,ortholog_one2many
zgc:175177,,ortholog_many2many
clcn2a,CLCN2,ortholog_one2one
fmnl3,,ortholog_one2many
pitpnab,PITPNA,ortholog_one2many
msh4,SGF29,ortholog_one2one
nek1,NEK1,ortholog_one2one
ddx21,,ortholog_one2one
oxct1b,OXCT1,ortholog_one2many
si:ch211-188c18.1,CD7,ortholog_one2many
atcayb,ATCAY,ortholog_one2many
cspg4,CSPG4,ortholog_one2one
tsn,TSN,ortholog_one2one
GUCA1A,GUCA1A,ortholog_one2many
smarcd3b,SMARCD3,ortholog_one2many
panx1a,PANX1,ortholog_one2many
ugt5d1,UGT2A1,ortholog_many2many
pkdccb,,ortholog_one2one
pja2,,ortholog_one2one
glrx2,GLRX2,ortholog_many2many
fblim1,FBLIM1,ortholog_one2one
dyrk2,DYRK2,ortholog_one2one
lmx1bb,LMX1B,ortholog_one2many
mfap3l,MFAP3L,ortholog_one2one
FP102888.1,,ortholog_one2many
prkcda,PRKCD,ortholog_one2many
