Gene name,Mouse gene name,Mouse homology type
,,
U6,,
ZNF692,Zfp692,ortholog_one2one
ZNF672,Zfp672,ortholog_one2one
SH3BP5L,Sh3bp5l,ortholog_one2one
,Bend2,ortholog_many2many
LYPD8,Lypd8,ortholog_one2one
,Lypd8l,ortholog_one2many
,1810065E05Rik,ortholog_one2many
,Gm12253,ortholog_one2many
,Lypd9,ortholog_one2one
OR2T27,,
,Or2t35,ortholog_one2many
,,
Y_RNA,Gm55481,ortholog_one2many
OR2T10,,
,,
,,
OR14I1,,
,,
OR9G1,Or9g20,ortholog_one2one
,Or2t43,ortholog_one2many
,Or2t29,ortholog_one2many
,Or2t49,ortholog_one2many
,Or2t47,ortholog_one2many
,Or2t48,ortholog_one2many
,Or2t46,ortholog_one2many
,Or2t35,ortholog_one2many
OR2T1,Or2t1,ortholog_one2one
OR2T6,Or2t6,ortholog_one2one
,,
OR2M4,,
,Or2t44,ortholog_one2many
,,
,Or2l13b,ortholog_many2many
,Or2l13,ortholog_many2many
,,
,Or2l5,ortholog_one2many
Y_RNA,,
OR2L2,Or2l5,ortholog_one2many
Y_RNA,,
OR2L5,Or2l5,ortholog_one2many
,Or2l5,ortholog_one2many
Y_RNA,,
,Or2l13b,ortholog_many2many
,Or2l13,ortholog_many2many
,Or2l5,ortholog_one2many
Y_RNA,,
,,
,Or2t44,ortholog_one2many
OR2W3,Or2w3,ortholog_one2many
OR2W3,Or2w3b,ortholog_one2many
TRIM58,Trim58,ortholog_one2one
OR11L1,Or11l3,ortholog_one2one
,Or2ab1,ortholog_one2one
OR9H1P,Or9s18,ortholog_one2one
OR1C1,,
OR14K1,,
OR14A2,Or14a260,ortholog_one2many
OR14A2,Or14a257,ortholog_one2many
OR14A2,Or14a256,ortholog_one2many
OR14A2,Or14a259,ortholog_one2many
OR14A2,Or14a258,ortholog_one2many
OR6F1,Or6f1,ortholog_one2one
OR13G1,Or13g1,ortholog_one2one
,,
GCSAML,,
OR2C3,,
,,
OR2B11,Or2b11,ortholog_one2one
NLRP3,Nlrp3,ortholog_one2one
,,
ZNF496,Zkscan17,ortholog_one2one
Y_RNA,,
,,
,,
,Zfp738,ortholog_many2many
,Zfp953,ortholog_many2many
,Zfp457,ortholog_many2many
,Zfp595,ortholog_many2many
ZNF124,Zfp78,ortholog_many2many
,,
,Zfp78,ortholog_many2many
ZNF670,,
,,
,,
Metazoa_SRP,,
AHCTF1,Ahctf1,ortholog_one2one
,,
,,
SCCPDH,Sccpdh,ortholog_one2one
,,
,,
