Gene name,Zebrafish gene name,Zebrafish homology type
nd1,mt-nd1,ortholog_one2one
nd2,mt-nd2,ortholog_one2one
COX1,mt-co1,ortholog_one2one
cox2,mt-co2,ortholog_one2one
ATP6,mt-atp6,ortholog_one2one
cox3,mt-co3,ortholog_one2one
nd3,mt-nd3,ortholog_one2one
nd4l,mt-nd4l,ortholog_one2one
nd4,mt-nd4,ortholog_one2one
nd5,mt-nd5,ortholog_one2one
nd6,mt-nd6,ortholog_one2one
cytb,mt-cyb,ortholog_one2one
,ighv4-2,ortholog_many2many
,ighv4-3,ortholog_many2many
,ighv4-7,ortholog_many2many
,ighv4-6,ortholog_many2many
,ighv4-5,ortholog_many2many
,ighv4-9,ortholog_many2many
,ighv4-8,ortholog_many2many
fat4,FAT4,ortholog_one2one
npffr2,npffr2b,ortholog_one2many
npffr2,NPFFR2,ortholog_one2many
lingo3,CABZ01060891.1,ortholog_one2many
lingo3,lingo3a,ortholog_one2many
fga,fga,ortholog_one2one
fgb,fgb,ortholog_one2one
plrg1,plrg1,ortholog_one2one
ppef2,PPEF2,ortholog_one2one
sfrp2,sfrp2,ortholog_one2one
prdm8,prdm8b,ortholog_one2one
cplx1,cplx2,ortholog_one2many
cplx1,cplx2l,ortholog_one2many
ercc8,ercc8,ortholog_one2one
ppa1,ppa2,ortholog_one2one
fabp2,fabp2,ortholog_one2one
etnppl,etnppl,ortholog_one2one
aga,aga,ortholog_one2one
neil3,neil3,ortholog_one2one
fgf5,fgf5,ortholog_one2one
trpc3,trpc3,ortholog_one2one
pcdh10,pcdh10b,ortholog_one2many
pcdh10,pcdh10a,ortholog_one2many
jund.2,june,ortholog_one2one
tlr2,tlr2,ortholog_one2many
dmrt3,dmrt3a,ortholog_one2one
dmrt1,dmrt1,ortholog_one2one
tmem132b,si:dkey-1d7.3,ortholog_many2many
slc46a2,slc46a2,ortholog_one2many
auh,auh,ortholog_one2one
nfil3,nfil3,ortholog_one2one
abhd17a,abhd17aa,ortholog_one2many
abhd17a,abhd17ab,ortholog_one2many
atp8b3,atp8b3,ortholog_one2one
ctxn3,ctxn3,ortholog_one2one
onecut3,onecut3a,ortholog_one2many
onecut3,onecut3b,ortholog_one2many
cep78,cep78,ortholog_one2one
psat1,psat1,ortholog_one2one
fzd10,fzd10,ortholog_one2one
slc7a4,slc7a4,ortholog_one2one
dgcr6,dgcr6,ortholog_one2one
slc25a46,slc25a46,ortholog_one2one
tdgf1.3,tdgf1,ortholog_one2one
tmem232,tmem232,ortholog_one2one
nek1,nek1,ortholog_one2one
yjefn3,yjefn3,ortholog_one2one
tlx2,tlx2,ortholog_one2one
mfsd14bl,CU856539.1,ortholog_one2many
mfsd14bl,si:ch211-87m7.2,ortholog_one2many
sfswap,sfswap,ortholog_one2one
kank1,kank1a,ortholog_one2one
dtwd2,dtwd2,ortholog_one2one
aldh3b1,aldh3b2,ortholog_one2one
mmab,mmab,ortholog_one2one
mvk,mvk,ortholog_one2one
s100z,s100z,ortholog_one2one
st8sia4,st8sia4,ortholog_one2one
anxa5,anxa5a,ortholog_one2many
anxa5,anxa5b,ortholog_one2many
rcl1,rcl1,ortholog_one2one
rasal1,si:dkeyp-72a4.1,ortholog_one2one
,CABZ01008739.1,ortholog_many2many
,CR753816.2,ortholog_many2many
,CR318625.2,ortholog_many2many
,CR628395.1,ortholog_many2many
,CR855257.2,ortholog_many2many
,BX649431.4,ortholog_many2many
,CR925720.1,ortholog_many2many
,CU570781.2,ortholog_many2many
hint2,hint2,ortholog_one2one
anp32b,anp32b,ortholog_one2one
sart3,sart3,ortholog_one2one
rtn4r,rtn4r,ortholog_one2one
pitpnb.2,pitpnb,ortholog_one2one
,ighv8-2,ortholog_many2many
,ighv8-1,ortholog_many2many
,ighv4-1,ortholog_many2many
tmem233,TMEM233,ortholog_one2one
ak3,ak3,ortholog_one2one
st8sia5,st8sia5,ortholog_one2one
frmpd1,frmpd1a,ortholog_one2many
frmpd1,frmpd1b,ortholog_one2many
mif,mif,ortholog_one2one
hadh,hadh,ortholog_one2one
chsy3,chsy3,ortholog_one2one
iscu,ISCU,ortholog_one2many
iscu,iscub,ortholog_one2many
armc6,ARMC6,ortholog_one2one
prkab1,prkab1b,ortholog_one2many
prkab1,prkab1a,ortholog_one2many
acer2,acer2,ortholog_one2one
cdc37l1,cdc37l1,ortholog_one2one
lef1,lef1,ortholog_one2one
rfk,rfk,ortholog_one2one
dhfr,dhfr,ortholog_one2one
