Gene name,Macaque gene name,Macaque homology type
mt-Tf,,
mt-Rnr1,,
mt-Tv,,
mt-Rnr2,,
mt-Tl1,,
mt-Nd1,,ortholog_one2many
mt-Nd1,ND1,ortholog_one2many
mt-Ti,,
mt-Tq,,
mt-Tm,,
mt-Nd2,ND2,ortholog_one2one
mt-Tw,,
mt-Ta,,
mt-Tn,,
mt-Tc,,
mt-Ty,,
mt-Co1,COX1,ortholog_one2one
mt-Ts1,,
mt-Td,,
mt-Co2,COX2,ortholog_one2one
mt-Tk,,
mt-Atp8,ATP8,ortholog_one2one
mt-Atp6,ATP6,ortholog_one2one
mt-Co3,COX3,ortholog_one2one
mt-Tg,,
mt-Nd3,ND3,ortholog_one2one
mt-Tr,,
mt-Nd4l,ND4L,ortholog_one2one
mt-Nd4,ND4,ortholog_one2one
mt-Th,,
mt-Ts2,,
mt-Tl2,,
mt-Nd5,ND5,ortholog_one2one
mt-Nd6,ND6,ortholog_one2many
mt-Nd6,,ortholog_one2many
mt-Nd6,,ortholog_one2many
mt-Nd6,,ortholog_one2many
mt-Nd6,,ortholog_one2many
mt-Nd6,,ortholog_one2many
mt-Nd6,,ortholog_one2many
mt-Te,,
mt-Cytb,CYTB,ortholog_one2one
mt-Tt,,
mt-Tp,,
,,
,,
,,
,,
,,
,,
,SP100,ortholog_one2many
,SP110,ortholog_one2many
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,SP110,ortholog_one2many
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,
,,
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,
,SP110,ortholog_one2many
,,
,SP100,ortholog_one2many
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
Vmn1r186,,
,,
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
Gm16367,,ortholog_many2many
Gm16367,,ortholog_many2many
Gm16367,PRAMEF12,ortholog_many2many
Gm16367,,ortholog_many2many
Gm16367,,ortholog_many2many
Gm16367,,ortholog_many2many
Gm16367,,ortholog_many2many
Gm16367,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,PRAMEF12,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
,,ortholog_many2many
