Gene name,Tropical clawed frog gene name,Tropical clawed frog homology type
fam162a,,ortholog_one2many
fam162a,fam162b,ortholog_one2many
tmem177,tmem177,ortholog_one2one
ostc,ostc,ortholog_one2one
rab9b,rab9b,ortholog_one2one
tppp3,tppp3,ortholog_one2one
slc39a9,slc39a9,ortholog_one2one
mtx1b,mtx1,ortholog_one2many
gpkow,gpkow,ortholog_one2one
samd4a,samd4a,ortholog_one2one
wdr34,dync2i2,ortholog_one2one
gria3a,gria3,ortholog_one2many
EML5,eml5,ortholog_one2one
zgc:174354,rbbp6,ortholog_one2many
creb3l1,creb3l1,ortholog_one2one
cdc42,cdc42,ortholog_one2many
syt2a,,ortholog_one2many
adamts13,adamts13,ortholog_one2one
tmem240a,tmem240,ortholog_one2many
foxo3a,FOXO6,ortholog_one2many
osmr,osmr,ortholog_one2many
osmr,lifr,ortholog_one2many
parvg,parvg,ortholog_one2one
dnah3,dnah3,ortholog_one2many
dnah3,,ortholog_one2many
or104-1,,ortholog_many2many
or104-1,XB5900534 [provisional:or56a5],ortholog_many2many
ap5b1,ap5b1,ortholog_one2one
nhej1,nhej1,ortholog_one2one
si:dkeyp-69b9.3,myos,ortholog_one2one
si:dkey-85n7.7,,ortholog_many2many
pitpnaa,pitpna,ortholog_one2many
ctu1,ctu1,ortholog_one2one
stx5al,stx5,ortholog_one2many
kif7,kif7,ortholog_one2one
narf,narf,ortholog_one2one
nrap,nrap,ortholog_one2one
gpr155a,gpr155,ortholog_one2many
snx27b,snx27,ortholog_one2many
alcamb,alcam,ortholog_one2many
nt5c1ba,nt5c1a,ortholog_one2many
araf,araf,ortholog_one2one
isca2,isca2,ortholog_one2one
rptor,rptor,ortholog_one2one
INTS15,c7orf26,ortholog_one2one
camkva,camkv,ortholog_one2many
plod2,plod2,ortholog_one2one
tmem54b,tmem54,ortholog_one2many
rpgrb,RPGR,ortholog_one2many
crfb16,il22ra1,ortholog_many2many
crfb16,ifnar2.1,ortholog_many2many
crfb16,il10ra,ortholog_many2many
tor1,tor1a,ortholog_one2many
tor1,tor1b,ortholog_one2many
flrt2,flrt2,ortholog_one2many
rasgef1bb,rasgef1b,ortholog_one2many
pxmp2,pxmp2,ortholog_one2one
tmem214,tmem214,ortholog_one2one
fa2h,fa2h,ortholog_one2one
ndufb7,ndufb7,ortholog_one2one
ctdp1,ctdp1,ortholog_one2one
ankhd1,ankhd1,ortholog_one2one
trim35-31,MGC147490,ortholog_many2many
trim35-31,xnf7,ortholog_many2many
cyp27b1,cyp27b1,ortholog_one2one
si:ch73-281i18.6,map7d1,ortholog_one2many
slc7a10a,slc7a10,ortholog_one2many
mrpl51,mrpl51,ortholog_one2one
frs2a,,ortholog_many2many
frs2a,frs2,ortholog_many2many
usp43b,usp43,ortholog_one2many
usp3,usp3,ortholog_one2one
hmgcs1,hmgcs1,ortholog_one2one
sgms2a,sgms2,ortholog_one2many
hapln4,hapln4,ortholog_one2one
olig3,olig3,ortholog_one2one
abhd15a,abhd15,ortholog_one2one
zgc:171695,,ortholog_many2many
tafa1a,tafa1,ortholog_one2one
ankef1a,ankef1,ortholog_one2many
crfb4,il10rb,ortholog_one2one
vmo1a,,ortholog_many2many
lsm11,lsm11,ortholog_one2one
cdk5,cdk5,ortholog_one2one
zgc:113057,helz2,ortholog_one2many
lonrf1l,cdpf1,ortholog_one2one
prf1.2,,ortholog_many2many
prf1.2,prf1,ortholog_many2many
hoxb3a,hoxb3,ortholog_one2one
slc16a5a,slc16a5,ortholog_one2many
gpr176,gpr176,ortholog_one2one
fhl2a,fhl2,ortholog_one2many
golph3l,golph3l,ortholog_one2one
iqch,pnlip,ortholog_one2one
si:ch211-189e2.3,tdrd6,ortholog_one2many
shpk,dlx6,ortholog_one2one
gfi1ab,gfi1,ortholog_one2one
pdyn,PDYN,ortholog_one2one
b3gnt3.3,b3gnt3.1,ortholog_many2many
b3gnt3.3,b3gnt3.2,ortholog_many2many
agtr1b,agtr1,ortholog_one2many
trim35-7,MGC147490,ortholog_many2many
trim35-7,xnf7,ortholog_many2many
tfdp1a,tfdp1,ortholog_one2many
ss18l2,ss18l2,ortholog_one2one
use1,use1,ortholog_one2one
fes,fes,ortholog_one2one
idh3b,idh3b,ortholog_one2one
irf4a,irf4,ortholog_one2one
gpr183b,gpr183.2,ortholog_one2many
cdh18a,cdh18,ortholog_one2many
mtg2,mtg2,ortholog_one2one
pkig,pkig,ortholog_one2one
mief2,mief2,ortholog_one2one
boka,bok,ortholog_one2many
si:ch211-129o18.4,c1orf127,ortholog_one2one
SRCIN1,srcin1,ortholog_one2many
alkbh6,alkbh6,ortholog_one2one
tnnt2b,tnnt2,ortholog_one2many
setbp1,setbp1,ortholog_one2one
henmt1,henmt1,ortholog_one2one
prkag1,prkag1,ortholog_one2one
haus5,haus5,ortholog_one2one
pip4p1a,pip4p1,ortholog_one2many
tars3,tars3,ortholog_one2one
med6,med6,ortholog_one2one
gab2,gab2,ortholog_one2one
C7H19orf12,c19orf12,ortholog_one2many
ube2l3b,ube2l3,ortholog_one2many
gpr101,gpr101,ortholog_one2one
chchd10,chchd10,ortholog_one2one
yipf3,yipf3,ortholog_one2one
klf17,klf17,ortholog_one2one
gfra2b,gfra2,ortholog_one2many
arap3,ssbp1,ortholog_one2one
chchd6a,chchd6,ortholog_one2many
arl8a,arl8a,ortholog_one2one
itgb7,itgb7,ortholog_one2one
dgkzb,dgkz,ortholog_one2many
rtraf,rtraf,ortholog_one2one
acmsd,acmsd,ortholog_one2one
adgre10,,ortholog_one2many
atoh8,atoh8,ortholog_one2one
pdcd7,pdcd7,ortholog_one2one
qrfpra,qrfprl2.2,ortholog_one2many
pcdh15a,pcdh15,ortholog_one2many
hnrnpa3,hnrnpa3,ortholog_one2one
itga8,itga8,ortholog_one2one
slc15a4,slc15a4,ortholog_one2one
cacng7a,cacng7,ortholog_one2many
p2ry8,p2ry8,ortholog_one2one
slc24a5,slc24a5,ortholog_one2one
fsta,fst,ortholog_one2many
SRBD1,XB5903316 [provisional:slc66a1],ortholog_one2many
abhd14b,abhd14b,ortholog_one2one
slc22a15,slc22a15.2,ortholog_one2one
si:dkey-26g8.5,ctsv,ortholog_one2many
adgrb1b,adgrb1,ortholog_one2many
tor4ab,tor4a,ortholog_one2many
ciao2b,ciao2b,ortholog_one2one
sh3bgrl3,sh3bgrl3,ortholog_one2one
si:ch211-214c7.4,prr36,ortholog_one2one
itgb3b,itgb3,ortholog_one2many
steap4,steap4.2,ortholog_one2many
steap4,steap4.1,ortholog_one2many
plg,plg,ortholog_one2many
plg,prtn3-like.2,ortholog_one2many
rpl5a,rpl5,ortholog_one2many
deptor,deptor,ortholog_one2one
gnb5a,gnb5,ortholog_one2many
adamts9,adamts9,ortholog_one2one
MATCAP2,kiaa0895,ortholog_one2one
b3gntl1,,ortholog_one2one
phyhd1,phyhd1,ortholog_one2one
agtrap,agtrap,ortholog_one2one
zzz3,zzz3,ortholog_one2one
parp16,parp16,ortholog_one2one
nlgn4xa,nlgn4x,ortholog_one2many
pudp,pudp,ortholog_one2one
mxd4,mxd4,ortholog_one2one
tyw1,tyw1,ortholog_one2one
ambp,ambp,ortholog_one2one
arpp19b,arpp19,ortholog_one2many
rps28,rps28p9,ortholog_one2one
chka,chka,ortholog_one2one
tacr3a,tacr3,ortholog_one2many
si:dkey-103j14.5,,ortholog_one2one
mrpl42,mrpl42,ortholog_one2one
ctslb,ctsv,ortholog_one2many
adgre15,,ortholog_one2many
ebag9,ebag9,ortholog_one2one
f13a1b,f13a1,ortholog_one2one
colec11,colec11,ortholog_one2one
si:dkey-256e7.5,,ortholog_one2one
hsd11b1la,hsd11b1l,ortholog_one2many
grm6b,grm8l,ortholog_one2many
thy1,thy1,ortholog_one2many
arid5b,arid5b,ortholog_one2one
mybl2b,mybl2,ortholog_one2one
ahcyl1,ahcyl1,ortholog_one2one
mif4gda,mif4gd,ortholog_one2many
drd4a,drd4,ortholog_one2many
atp1a2a,atp1a2,ortholog_one2one
ccr10,,ortholog_one2one
arhgap21b,arhgap21,ortholog_one2many
pvrl2l,nectin2,ortholog_many2many
hephl1b,hephl1,ortholog_one2one
iffo1b,,ortholog_many2many
iffo1b,IFFO1,ortholog_many2many
si:dkey-65b12.6,,ortholog_one2many
si:dkey-65b12.6,XB5897453 [provisional:fcgbp],ortholog_one2many
si:dkey-65b12.6,fcgbp,ortholog_one2many
grb7,grb7,ortholog_one2one
ext1a,ext1,ortholog_one2many
nubp1,nubp1,ortholog_one2many
nubp1,,ortholog_one2many
doc2b,doc2b,ortholog_one2one
tmc8,,ortholog_one2one
opn7c,opn7b,ortholog_one2many
rprma,rprm,ortholog_one2many
ankk1,ankk1,ortholog_one2one
trmt1l,trmt1l,ortholog_one2one
,h3c14,ortholog_one2one
hist1h2a11,,ortholog_many2many
lyplal1,lyplal1,ortholog_one2one
rbm48,rbm48,ortholog_one2one
igbp1,igbp1,ortholog_one2one
gsk3ab,gsk3a,ortholog_one2many
gpr158b,gpr158,ortholog_one2many
pdcd4a,,ortholog_one2one
dazap1,dazap1,ortholog_one2one
trpc4a,trpc4,ortholog_one2many
zc3h11a,zc3h11a,ortholog_one2one
nf1b,nf1,ortholog_one2many
dcaf12,dcaf12,ortholog_one2one
atp8b4,atp8b4,ortholog_one2one
rnf169,rnf169,ortholog_one2one
aimp1a,aimp1,ortholog_one2many
creb3l3l,creb3,ortholog_one2one
cd82a,cd82,ortholog_one2many
fbxo15,fbxo15,ortholog_one2many
psmb7,psmb7,ortholog_one2one
col8a1b,col8a1,ortholog_one2one
dnmt3ab,dnmt3a,ortholog_one2many
sla2,sla2,ortholog_one2many
asic1c,,ortholog_one2many
matn3a,matn3,ortholog_one2many
lrrc4ba,lrrc4b,ortholog_one2many
atg3,atg3,ortholog_one2one
sh3glb1b,sh3glb1,ortholog_one2many
si:dkeyp-85h7.1,,ortholog_one2many
si:ch211-113d22.2,,ortholog_one2one
pagr1,pagr1,ortholog_one2one
eif4h,eif4h,ortholog_one2one
skia,ski,ortholog_one2one
zgc:112496,linc02867,ortholog_one2one
mdh1b,mdh1b,ortholog_one2one
znf507,znf507,ortholog_one2one
josd1,josd1,ortholog_one2one
zgc:162025,C12orf43,ortholog_one2one
cd81a,cd81,ortholog_one2many
rnf141,rnf141,ortholog_one2one
mydgf,mydgf,ortholog_one2one
pkp3b,pkp3,ortholog_one2many
march5,marchf5,ortholog_one2one
ihhb,dhh,ortholog_many2many
bmi1b,bmi1,ortholog_one2many
ccdc90b,ccdc90b,ortholog_one2one
rpl5b,rpl5,ortholog_one2many
g3bp2,g3bp2,ortholog_one2many
timm23a,timm23,ortholog_one2many
nyx,nyx,ortholog_one2one
zgc:153631,,ortholog_one2many
rpap1,rpap1,ortholog_one2one
nutf2,nutf2,ortholog_one2one
ift46,ift46,ortholog_one2one
nat15,naa60,ortholog_one2one
prune2,taok2,ortholog_one2one
tap2a,tap2,ortholog_one2many
tap2a,,ortholog_one2many
si:ch211-162k9.6,nxpe3l.2,ortholog_many2many
si:ch211-162k9.6,,ortholog_many2many
si:ch211-162k9.6,nxpe3l.6,ortholog_many2many
cebpz,cebpz,ortholog_one2many
yars2,yars2,ortholog_one2one
ndufaf7,ndufaf7,ortholog_one2one
btk,btk,ortholog_one2one
itpkca,itpkc,ortholog_one2many
ddx59,ddx59,ortholog_one2one
ponzr6,XB5717875 [provisional:plac8],ortholog_one2one
tmc2b,,ortholog_many2many
chrna5,chrna5,ortholog_one2one
timm17b,timm17b,ortholog_one2one
yeats4,yeats4,ortholog_one2one
fmoda,fmod,ortholog_one2many
gypc,gypc,ortholog_one2one
zcrb1,zcrb1,ortholog_one2one
pcdh11,pcdh11x,ortholog_one2one
ost4,,ortholog_one2one
mfrp,mfrp,ortholog_one2one
arsg,arsg,ortholog_one2many
dalrd3,dalrd3,ortholog_one2one
adipor1a,adipor1,ortholog_one2many
si:ch73-281i18.7,map7d1,ortholog_one2many
arhgef38,arhgef38,ortholog_one2one
ncoa5,ncoa5,ortholog_one2one
hunk,hunk,ortholog_one2one
trim35-20,MGC147490,ortholog_many2many
trim35-20,xnf7,ortholog_many2many
tnni1a,tnni1,ortholog_one2many
cnot6l,cnot6l,ortholog_one2one
ddr2b,ddr2,ortholog_one2many
sftpbb,sftpb,ortholog_many2many
tbl1xr1a,tbl1xr1,ortholog_one2many
kcnk6,kcnk6,ortholog_one2one
proca,proc,ortholog_one2many
smarcd1,smarcd1,ortholog_one2one
