Gene name,Zebrafish gene name,Zebrafish homology type
mt-Tf,,
mt-Rnr1,,
mt-Tv,,
mt-Rnr2,,
mt-Tl1,,
mt-Nd1,mt-nd1,ortholog_one2one
mt-Ti,,
mt-Tq,,
mt-Tm,,
mt-Nd2,mt-nd2,ortholog_one2one
mt-Tw,,
mt-Ta,,
mt-Tn,,
mt-Tc,,
mt-Ty,,
mt-Co1,mt-co1,ortholog_one2one
mt-Ts1,,
mt-Td,,
mt-Co2,mt-co2,ortholog_one2one
mt-Tk,,
mt-Atp8,,
mt-Atp6,mt-atp6,ortholog_one2one
mt-Co3,mt-co3,ortholog_one2one
mt-Tg,,
mt-Nd3,mt-nd3,ortholog_one2one
mt-Tr,,
mt-Nd4l,,
mt-Nd4,mt-nd4,ortholog_one2one
mt-Th,,
mt-Ts2,,
mt-Tl2,,
mt-Nd5,mt-nd5,ortholog_one2one
mt-Nd6,mt-nd6,ortholog_one2one
mt-Te,,
mt-Cytb,mt-cyb,ortholog_one2one
mt-Tt,,
mt-Tp,,
,,
,,
,,
,,
,,
,,
,ubtfl,ortholog_many2many
,ubtf,ortholog_many2many
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,ubtfl,ortholog_many2many
,ubtf,ortholog_many2many
,,
,,
Vmn1r186,ora1,ortholog_one2many
,ora1,ortholog_one2many
,,
,,
,,
,,
,,
,,
,,
,,
Gm16367,,
,,
,,
,,
,,
,,
,,
,pisd,ortholog_one2many
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Csprs,,
,,
Gm28489,,
Gm21867,,
Gm29448,,
Gm21127,,
Gm20816,,ortholog_many2many
Gm20816,,ortholog_many2many
Gm20816,spinb,ortholog_many2many
Gm29447,,
Gm29446,,
Gm29452,,
Gm29451,,
Gm20817,sycp3,ortholog_one2many
Gm28633,,
Gm21562,,
Gm29410,,
Gm28298,,
Gm21572,,
Gm28297,,
Gm21753,,
Gm21723,,
Gm28462,,
Gm20818,,
Gm28296,,
Gm21821,,
Gm28295,,
Gm20932,,
Gm29134,,
Gm28303,,
Gm28304,,
Gm28824,,
Gm21810,,
Gm21916,,
Gm29191,,
Gm21756,,
Gm28210,,
Gm29074,,
Gm28211,,
Gm28518,,
Gm28519,,
Gm28520,,
Gm21626,,
Gm28433,,
Gm28521,,
Gm28431,,
Gm21633,,
Gm28432,,
Gm20886,,
Gm28522,,
Gm21808,,
Gm21745,,
Gm28517,,
Gm29532,,
Gm29531,,
Gm28464,,
Gm28841,,
Gm29656,,
Gm28842,,
Gm28843,,
Gm29655,,
Gm28837,,
Gm21647,,
Gm29653,,
Gm28838,,
Gm29654,,
Gm28839,,
Gm29651,,
Gm20866,,
Gm20868,,
Gm29652,,
Gm29080,,
Gm21184,,
Gm21201,,
Gm28844,,
Gm21841,,
Gm29081,,
Gm29077,,
Gm29076,,
Gm29079,,
Gm29078,,
Gm20853,,
Gm29075,,
Gm20870,sycp3,ortholog_one2many
Gm29225,,
Gm28483,,
Gm29226,,
Gm28484,,
Gm29227,,
Gm28480,,
Gm20842,,
Gm21880,,
Gm29386,,
Gm29384,,
Gm21896,,
Gm29280,,
Gm20799,,
Gm29279,,
Gm29182,,
Gm28260,,
Gm21795,,
Gm20844,,
Gm28261,,
Gm28264,,
Gm21872,,
Gm20798,,
Gm28463,,
Gm21757,,
Gm28968,,
Gm28495,,
Gm20846,,
Gm20847,,
Gm20848,,
Gm21766,,
Gm20800,,
Gm21683,,
Gm28468,,
Gm20898,,
Gm21855,,
Gm29333,,
Gm29255,,
Gm20902,,
Gm28332,,
Gm28678,,
Gm28333,,
Gm28334,,
Gm28335,,
Gm20903,sycp3,ortholog_one2many
Gm28336,,
Gm28272,,
Gm28337,,
Gm29256,,
Gm28259,,
Gm28338,,
Gm28273,,
Gm21715,,
Gm29028,,
Gm29029,,
Gm29615,,
Gm29030,,
Gm29023,,
Gm29024,,
Gm29025,,
Gm29026,,
Gm28213,,
Gm28212,,
Gm21799,,
Gm28227,,
Gm20905,sycp3,ortholog_one2many
Gm29411,,
Gm28222,,
Gm21835,,
Gm28820,,
Gm28223,,
Gm29412,,
Gm29413,,
Gm29671,,
Gm21878,,
Gm28162,,
Gm28789,,
Gm20922,,
Gm20738,,ortholog_many2many
Gm20738,,ortholog_many2many
Gm20738,spinb,ortholog_many2many
Gm20814,sycp3,ortholog_one2many
Gm28787,,
Gm28788,,
Gm28545,,
Gm28547,,
Gm29278,,
Gm28546,,
Gm21922,,
Gm21924,,
Gm21111,,
Gm21735,,
Gm28608,,
Gm28607,,
Gm28771,,
Gm28772,,
Gm28606,,
Gm28773,,
Gm20850,sycp3,ortholog_one2many
Gm20897,sycp3,ortholog_one2many
Gm29574,,
Gm28774,,
Gm29575,,
