Gene name,Mouse gene name,Mouse homology type
fam162a,Fam162b,ortholog_one2one
caly,Caly,ortholog_one2one
tmem177,Tmem177,ortholog_one2one
ostc,Ostc,ortholog_one2one
vps37c,Vps37c,ortholog_one2one
rab9b,Rab9b,ortholog_one2one
tppp3,Tppp3,ortholog_one2one
slc39a9,Slc39a9,ortholog_one2one
mtx1b,Mtx1,ortholog_one2many
gpkow,Gpkow,ortholog_one2one
samd4a,Samd4,ortholog_one2one
wdr34,Dync2i2,ortholog_one2one
gria3a,Gria3,ortholog_one2many
EML5,Eml5,ortholog_one2one
creb3l1,Creb3l1,ortholog_one2one
cdc42,Cdc42,ortholog_one2many
syt2a,Syt2,ortholog_one2many
adamts13,Adamts13,ortholog_one2one
tmem240a,Tmem240,ortholog_one2many
foxo3a,Foxo6,ortholog_one2many
osmr,Lifr,ortholog_one2one
parvg,Parvg,ortholog_one2one
dnah3,Dnah3,ortholog_one2one
ap5b1,Ap5b1,ortholog_one2one
nhej1,Nhej1,ortholog_one2one
nlgn3b,Ces1f,ortholog_many2many
nlgn3b,Ces1e,ortholog_many2many
nlgn3b,Ces1a,ortholog_many2many
nlgn3b,Ces2e,ortholog_many2many
nlgn3b,Ces2f,ortholog_many2many
nlgn3b,Ces2c,ortholog_many2many
nlgn3b,Ces2b,ortholog_many2many
nlgn3b,Ces2g,ortholog_many2many
nlgn3b,Ces2a,ortholog_many2many
nlgn3b,Ces1c,ortholog_many2many
nlgn3b,Ces1b,ortholog_many2many
nlgn3b,Ces1d,ortholog_many2many
nlgn3b,Ces1g,ortholog_many2many
nlgn3b,Ces1h,ortholog_many2many
nlgn3b,Ces5a,ortholog_many2many
nlgn3b,Ces4a,ortholog_many2many
nlgn3b,Ces2h,ortholog_many2many
pitpnaa,Pitpna,ortholog_one2many
ctu1,Ctu1,ortholog_one2one
stx5al,Stx5a,ortholog_one2many
kif7,Kif7,ortholog_one2one
narf,Narf,ortholog_one2one
nrap,Nrap,ortholog_one2one
gpr155a,Gpr155,ortholog_one2many
snx27b,Snx27,ortholog_one2many
alcamb,Alcam,ortholog_one2many
hamp,Hamp,ortholog_one2one
nt5c1ba,Nt5c1b,ortholog_one2many
araf,Araf,ortholog_one2one
isca2,Isca2,ortholog_one2one
rptor,Rptor,ortholog_one2one
INTS15,Ints15,ortholog_one2one
camkva,Camkv,ortholog_one2many
plod2,Plod2,ortholog_one2one
tmem54b,Tmem54,ortholog_one2many
rpgrb,Rpgr,ortholog_one2many
crfb16,Ifnar2,ortholog_many2many
crfb16,Ifngr1,ortholog_many2many
crfb16,Il22ra1,ortholog_many2many
crfb16,Il10ra,ortholog_many2many
tor1,Tor1a,ortholog_one2many
tor1,Tor1b,ortholog_one2many
flrt2,Flrt2,ortholog_one2many
rasgef1bb,Rasgef1b,ortholog_one2many
pxmp2,Pxmp2,ortholog_one2one
tmem214,Tmem214,ortholog_one2one
fa2h,Fa2h,ortholog_one2one
ndufb7,Ndufb7,ortholog_one2one
ctdp1,Ctdp1,ortholog_one2one
ankhd1,Ankhd1,ortholog_one2one
cyp27b1,Cyp27b1,ortholog_one2one
si:ch73-281i18.6,Map7d1,ortholog_one2many
slc7a10a,Slc7a10,ortholog_one2many
mrpl51,Mrpl51,ortholog_one2one
frs2a,Frs2,ortholog_one2many
usp43b,Usp43,ortholog_one2many
usp3,Usp3,ortholog_one2one
hmgcs1,Hmgcs1,ortholog_one2one
ugt5c3,Ugt2a3,ortholog_many2many
ugt5c3,Ugt1a6b,ortholog_many2many
ugt5c3,Ugt1a6a,ortholog_many2many
ugt5c3,Ugt1a7c,ortholog_many2many
ugt5c3,Ugt1a2,ortholog_many2many
ugt5c3,Ugt1a5,ortholog_many2many
ugt5c3,Ugt2a2,ortholog_many2many
ugt5c3,Ugt2a1,ortholog_many2many
ugt5c3,Ugt1a9,ortholog_many2many
ugt5c3,Ugt1a8,ortholog_many2many
ugt5c3,Ugt1a10,ortholog_many2many
sgms2a,Sgms2,ortholog_one2many
hapln4,Hapln4,ortholog_one2one
olig3,Olig3,ortholog_one2one
zgc:171695,Septin14,ortholog_many2many
tafa1a,Tafa1,ortholog_one2one
ankef1a,Ankef1,ortholog_one2many
crfb4,Il10rb,ortholog_one2one
vmo1a,Vmo1,ortholog_one2many
lsm11,Lsm11,ortholog_one2one
cdk5,Cdk5,ortholog_one2one
zgc:113057,Helz2,ortholog_one2many
lonrf1l,Lonrf1,ortholog_one2one
prf1.2,Prf1,ortholog_one2many
hoxb3a,Hoxb3,ortholog_one2one
slc16a5a,Slc16a5,ortholog_one2many
gpr176,Gpr176,ortholog_one2one
fhl2a,Fhl2,ortholog_one2many
golph3l,Golph3l,ortholog_one2one
iqch,Iqch,ortholog_one2one
si:ch211-189e2.3,Tdrd6,ortholog_one2many
shpk,Shpk,ortholog_one2one
gfi1ab,Gfi1,ortholog_one2one
pdyn,Pdyn,ortholog_one2one
b3gnt3.3,B3gnt3,ortholog_one2many
agtr1b,Agtr1b,ortholog_many2many
agtr1b,Agtr1a,ortholog_many2many
tfdp1a,Tfdp1,ortholog_one2many
ss18l2,Ss18l2,ortholog_one2one
use1,Use1,ortholog_one2one
fes,Fes,ortholog_one2one
idh3b,Idh3b,ortholog_one2one
irf4a,Irf4,ortholog_one2one
gpr183b,Gpr183,ortholog_one2many
cdh18a,Cdh18,ortholog_one2many
mtg2,Mtg2,ortholog_one2one
pkig,Pkig,ortholog_one2one
mief2,Mief2,ortholog_one2one
boka,Bok,ortholog_one2many
si:ch211-129o18.4,Gm572,ortholog_one2one
SRCIN1,Srcin1,ortholog_one2many
alkbh6,Alkbh6,ortholog_one2one
tnnt2b,Tnnt2,ortholog_one2many
setbp1,Setbp1,ortholog_one2one
dusp23a,Dusp23,ortholog_one2many
henmt1,Henmt1,ortholog_one2one
zgc:109986,2700097O09Rik,ortholog_one2one
prkag1,Prkag1,ortholog_one2one
pip4p1a,Pip4p1,ortholog_one2many
med6,Med6,ortholog_one2one
ak9,Ak9,ortholog_one2one
gab2,Gab2,ortholog_one2one
C7H19orf12,1600014C10Rik,ortholog_one2many
si:dkey-18a10.3,Hsf4,ortholog_one2many
ube2l3b,Ube2l3,ortholog_one2many
gpr101,Gpr101,ortholog_one2one
chchd10,Chchd10,ortholog_one2one
yipf3,Yipf3,ortholog_one2one
klf17,Klf17,ortholog_many2many
klf17,Klf14,ortholog_many2many
klf17,Zfp352,ortholog_many2many
gfra2b,Gfra2,ortholog_one2many
arap3,Arap3,ortholog_one2one
chchd6a,Chchd6,ortholog_one2many
arl8a,Arl8a,ortholog_one2one
itgb7,Itgb7,ortholog_one2one
dgkzb,Dgkz,ortholog_one2many
rtraf,Rtraf,ortholog_one2one
acmsd,Acmsd,ortholog_one2one
atoh8,Atoh8,ortholog_one2one
pdcd7,Pdcd7,ortholog_one2one
qrfpra,Qrfpr,ortholog_many2many
qrfpra,Qrfprl,ortholog_many2many
pcdh15a,Pcdh15,ortholog_one2many
itga8,Itga8,ortholog_one2one
cdk5rap2,Cdk5rap2,ortholog_one2one
slc15a4,Slc15a4,ortholog_one2one
dok2,Dok2,ortholog_one2many
cacng7a,Cacng7,ortholog_one2many
slc24a5,Slc24a5,ortholog_one2one
fsta,Fst,ortholog_one2many
SRBD1,Srbd1,ortholog_one2many
ms4a17a.4,Ms4a2,ortholog_many2many
ms4a17a.4,Ms4a15,ortholog_many2many
ms4a17a.4,Ms4a7,ortholog_many2many
ms4a17a.4,Ms4a20,ortholog_many2many
ms4a17a.4,Ms4a14,ortholog_many2many
ms4a17a.4,Ms4a19,ortholog_many2many
ms4a17a.4,Ms4a18,ortholog_many2many
ms4a17a.4,Ms4a13,ortholog_many2many
ms4a17a.4,Ms4a6c,ortholog_many2many
ms4a17a.4,Ms4a6b,ortholog_many2many
ms4a17a.4,Ms4a6d,ortholog_many2many
ms4a17a.4,Ms4a1,ortholog_many2many
ms4a17a.4,Ms4a5,ortholog_many2many
ms4a17a.4,Ms4a10,ortholog_many2many
abhd14b,Abhd14b,ortholog_one2one
slc22a15,Slc22a28,ortholog_many2many
slc22a15,Slc22a29,ortholog_many2many
slc22a15,Slc22a19,ortholog_many2many
slc22a15,Slc22a26,ortholog_many2many
slc22a15,Slc22a27,ortholog_many2many
slc22a15,Slc22a30,ortholog_many2many
si:dkey-26g8.5,4930486L24Rik,ortholog_many2many
si:dkey-26g8.5,Cts8,ortholog_many2many
si:dkey-26g8.5,BC051665,ortholog_many2many
si:dkey-26g8.5,Cts7,ortholog_many2many
si:dkey-26g8.5,Ctla2b,ortholog_many2many
