Gene name,Human gene name,Human homology type
fam162a,FAM162B,ortholog_one2one
si:ch211-235i11.3,,
caly,CALY,ortholog_one2one
tmem177,TMEM177,ortholog_one2one
ostc,OSTC,ortholog_one2one
vps37c,VPS37C,ortholog_one2one
rab9b,RAB9B,ortholog_one2one
tppp3,TPPP3,ortholog_one2one
znf1029,,
slc39a9,SLC39A9,ortholog_one2one
kif16bb,KIF16B,ortholog_one2many
mtx1b,MTX1,ortholog_one2many
gpkow,GPKOW,ortholog_one2one
samd4a,SAMD4A,ortholog_one2one
CABZ01100185.1,,
wdr34,DYNC2I2,ortholog_one2one
gria3a,,
EML5,EML5,ortholog_one2one
zgc:174354,,
BX537137.2,,
CR847503.1,,
AL954317.1,,
creb3l1,CREB3L1,ortholog_one2one
cdc42,CDC42,ortholog_one2many
syt2a,SYT2,ortholog_one2many
tspan33b,,
adamts13,ADAMTS13,ortholog_one2one
gnal,,
si:dkey-238o14.1,,
tmem240a,TMEM240,ortholog_one2many
foxo3a,FOXO6,ortholog_one2many
osmr,LIFR,ortholog_one2one
BX293559.1,,
parvg,PARVG,ortholog_one2one
si:ch211-198m17.1,,
dnah3,DNAH3,ortholog_one2one
or104-1,,
CR769769.2,,
ap5b1,AP5B1,ortholog_one2one
nhej1,NHEJ1,ortholog_one2one
si:dkeyp-69b9.3,,
si:dkey-85n7.7,,
nlgn3b,CES5A,ortholog_many2many
nlgn3b,CES4A,ortholog_many2many
nlgn3b,CES1,ortholog_many2many
nlgn3b,CES2,ortholog_many2many
pitpnaa,PITPNA,ortholog_one2many
ctu1,CTU1,ortholog_one2one
nitr12,TRAV34,ortholog_many2many
nitr12,TRAV30,ortholog_many2many
nitr12,TRAV13-2,ortholog_many2many
nitr12,TRAV13-1,ortholog_many2many
nitr12,TRAV5,ortholog_many2many
nitr12,TRAV17,ortholog_many2many
nitr12,TRAV38-1,ortholog_many2many
nitr12,TRAV38-2DV8,ortholog_many2many
nitr12,TRAC,ortholog_many2many
nitr12,TRAV26-1,ortholog_many2many
nitr12,TRAV4,ortholog_many2many
nitr12,TRAV10,ortholog_many2many
nitr12,TRAV26-2,ortholog_many2many
nitr12,TRAV21,ortholog_many2many
nitr12,TRAV20,ortholog_many2many
nitr12,TRAV7,ortholog_many2many
nitr12,TRAV36DV7,ortholog_many2many
nitr12,TRAV1-2,ortholog_many2many
nitr12,TRAV1-1,ortholog_many2many
nitr12,TRAV24,ortholog_many2many
wfdc2,,
si:dkey-157e10.8,,
stx5al,STX5,ortholog_one2many
si:dkeyp-68b7.12,,
ldlrb,,
BX465836.1,,
kif7,KIF7,ortholog_one2one
BX119902.2,,
narf,NARF,ortholog_one2one
CR376751.1,,
nrap,NRAP,ortholog_one2one
or108-2,,
gpr155a,GPR155,ortholog_one2many
snx27b,SNX27,ortholog_one2many
alcamb,ALCAM,ortholog_one2many
hamp,HAMP,ortholog_one2one
nt5c1ba,NT5C1B,ortholog_one2many
araf,ARAF,ortholog_one2one
BX005065.1,,
isca2,ISCA2,ortholog_one2one
si:dkey-33c9.6,,
rptor,RPTOR,ortholog_one2one
zgc:174180,,
BX842692.1,,
INTS15,INTS15,ortholog_one2one
camkva,CAMKV,ortholog_one2many
si:ch211-149e23.4,,
FO834831.1,,
AL845324.2,,
plod2,PLOD2,ortholog_one2one
si:ch211-122l14.7,,
tmem54b,TMEM54,ortholog_one2many
rpgrb,RPGR,ortholog_one2many
crfb16,IL10RA,ortholog_many2many
crfb16,IFNGR1,ortholog_many2many
crfb16,IFNAR2,ortholog_many2many
crfb16,IL22RA1,ortholog_many2many
tor1,TOR1A,ortholog_many2many
tor1,TOR1B,ortholog_many2many
flrt2,FLRT2,ortholog_one2many
rasgef1bb,RASGEF1B,ortholog_one2many
si:ch211-276a17.5,,
pxmp2,PXMP2,ortholog_one2one
tmem214,TMEM214,ortholog_one2one
fa2h,FA2H,ortholog_one2one
ndufb7,NDUFB7,ortholog_one2one
ctdp1,CTDP1,ortholog_one2one
ankhd1,ANKHD1,ortholog_one2one
CR354383.1,,
trim35-31,,
traj55,,
cyp27b1,CYP27B1,ortholog_one2one
si:ch73-281i18.6,MAP7,ortholog_one2many
slc7a10a,SLC7A10,ortholog_one2many
mrpl51,MRPL51,ortholog_one2one
pimr190,,
BX908796.2,,
si:dkey-149i17.8,,
frs2a,FRS2,ortholog_one2many
usp43b,USP43,ortholog_one2many
si:dkeyp-100h4.8,,
asmt2,,
CU464087.1,,
ipp,,
usp3,USP3,ortholog_one2one
hmgcs1,HMGCS1,ortholog_one2one
ugt5c3,UGT3A1,ortholog_many2many
ugt5c3,UGT1A8,ortholog_many2many
ugt5c3,UGT1A7,ortholog_many2many
ugt5c3,UGT1A9,ortholog_many2many
ugt5c3,UGT1A10,ortholog_many2many
ugt5c3,UGT2B11,ortholog_many2many
ugt5c3,UGT2B28,ortholog_many2many
ugt5c3,UGT2B10,ortholog_many2many
ugt5c3,UGT2A3,ortholog_many2many
ugt5c3,UGT2A2,ortholog_many2many
ugt5c3,UGT2A1,ortholog_many2many
ugt5c3,UGT2B15,ortholog_many2many
ugt5c3,UGT2B17,ortholog_many2many
ugt5c3,UGT1A6,ortholog_many2many
ugt5c3,UGT1A5,ortholog_many2many
ugt5c3,UGT1A3,ortholog_many2many
ugt5c3,UGT1A4,ortholog_many2many
ugt5c3,UGT2B7,ortholog_many2many
ugt5c3,UGT2B4,ortholog_many2many
traj6,,
si:ch211-271d10.2,,
sgms2a,SGMS2,ortholog_one2many
hapln4,HAPLN4,ortholog_one2one
olig3,OLIG3,ortholog_one2one
abhd15a,,
zgc:171695,SEPTIN14,ortholog_many2many
tafa1a,TAFA1,ortholog_one2one
ankef1a,ANKEF1,ortholog_one2many
crfb4,IL10RB,ortholog_one2one
vmo1a,VMO1,ortholog_one2many
lsm11,LSM11,ortholog_one2one
cdk5,CDK5,ortholog_one2one
CU467043.1,,
zgc:113057,HELZ2,ortholog_one2many
lonrf1l,LONRF1,ortholog_one2one
prf1.2,PRF1,ortholog_one2many
hoxb3a,HOXB3,ortholog_one2one
slc16a5a,SLC16A5,ortholog_one2many
gpr176,GPR176,ortholog_one2one
fhl2a,FHL2,ortholog_one2many
golph3l,GOLPH3L,ortholog_one2one
iqch,IQCH,ortholog_one2one
si:ch211-189e2.3,TDRD6,ortholog_one2many
shpk,SHPK,ortholog_one2one
si:dkey-238c7.16,,
gfi1ab,GFI1,ortholog_one2one
pdyn,PDYN,ortholog_one2one
si:ch73-109d9.3,,
b3gnt3.3,B3GNT3,ortholog_one2many
agtr1b,AGTR1,ortholog_one2many
trim35-7,,
tfdp1a,TFDP1,ortholog_one2many
CR293531.1,,
BX927395.1,,
si:dkeyp-100h4.1,,
si:dkey-1b17.9,,
ss18l2,SS18L2,ortholog_one2one
use1,USE1,ortholog_one2one
si:ch211-223g7.6,,
fes,FES,ortholog_one2one
zgc:123103,CTSV,ortholog_many2many
zgc:123103,CTSL,ortholog_many2many
si:ch211-132g1.1,,
idh3b,IDH3B,ortholog_one2one
irf4a,IRF4,ortholog_one2one
BX511142.1,,
gpr183b,GPR183,ortholog_one2many
cdh18a,CDH18,ortholog_one2many
mtg2,MTG2,ortholog_one2one
pkig,PKIG,ortholog_one2one
mief2,MIEF2,ortholog_one2one
boka,BOK,ortholog_one2many
si:ch211-129o18.4,C1orf127,ortholog_one2one
CU929145.2,,
SRCIN1,SRCIN1,ortholog_one2many
si:rp71-17i16.6,,
FP016235.1,,
tmeff1b,,
tap2t,,
si:dkeyp-51g9.4,,
