Gene name,Macaque gene name,Macaque homology type
MT-TF,,
MT-RNR1,,
MT-TV,,
MT-RNR2,,
MT-TL1,,
MT-ND1,ND1,ortholog_one2many
MT-ND1,,ortholog_one2many
MT-TI,,
MT-TQ,,
MT-TM,,
MT-ND2,ND2,ortholog_one2one
MT-TW,,
MT-TA,,
MT-TN,,
MT-TC,,
MT-TY,,
MT-CO1,COX1,ortholog_one2one
MT-TS1,,
MT-TD,,
MT-CO2,COX2,ortholog_one2one
MT-TK,,
MT-ATP8,ATP8,ortholog_one2one
MT-ATP6,ATP6,ortholog_one2one
MT-CO3,COX3,ortholog_one2one
MT-TG,,
MT-ND3,ND3,ortholog_one2one
MT-TR,,
MT-ND4L,ND4L,ortholog_one2one
MT-ND4,ND4,ortholog_one2one
MT-TH,,
MT-TS2,,
MT-TL2,,
MT-ND5,ND5,ortholog_one2one
MT-ND6,,ortholog_one2many
MT-ND6,,ortholog_one2many
MT-ND6,,ortholog_one2many
MT-ND6,,ortholog_one2many
MT-ND6,,ortholog_one2many
MT-ND6,ND6,ortholog_one2many
MT-ND6,,ortholog_one2many
MT-TE,,
MT-CYB,CYTB,ortholog_one2one
MT-TT,,
MT-TP,,
5S_rRNA,,
,,
,,
,,
,,
5_8S_rRNA,5_8S_rRNA,ortholog_one2many
,,
,,
LINC01115,,
LINC02109,,
,,
SNTG2,,
INTS3,,
KIR3DL2,,
PCMTD2,,
KIR3DL3,,
KIR3DL1,,
SBNO2,,
KIR2DL3,,
PTCHD3,,
LILRP2,,
LILRP2,,
KIR3DP1,,
KIR2DL4,,
KIR2DS2,,
LILRP1,,
,,
KIR2DL3,,
OPRL1,,
ODAD2P1,,
KIR3DL1,,
LILRP2,,
FAM210CP,,
TRIAP1P1,,
U6,,
FCAR,,
U6,,
NPBWR2,,
KIR3DS1,,
,,
,,
LILRP1,,
KIR2DL4,,
,,
MYT1,,
KIR3DL1,,
KIR2DL3,,
,,
KIR3DL1,,
KIR2DL4,,
,,
PPIAL4F,,
KIR2DS4,,
,,
,,
KIR2DL1,,
,,
,,
GEMIN2P1,,
KIR3DL1,,
KIR2DS4,,
U1,,
GATAD2B,,
,,
RNVU1-26,,
NCR1,,
RNVU1-2A,,
KIR2DS5,,
KIR2DL2,,
KIR2DL4,,
KIR2DS5,,
KIR2DS4,,
KIR3DL3,,
LINC00254,,
LILRP1,,
KIR3DL2,,
HS3ST6,,
KIR2DL5A,,
KIR2DL4,,
KIR2DS4,,
MEIOB,,
KIR3DL1,,
,,
KIR2DL4,,
SLC27A3,,
LINC02124,,
KIR2DL2,,
LILRP2,,
KIR2DL1,,
KIR2DL4,,
KIR2DS4,,
KIR2DS4,,
KIR2DL1,,
KIR3DL1,,
LINC01839,,
,,
KIR3DL2,,
KIR2DS4,,
KIR2DL4,,
KIR2DS3,,
,,
KIR3DL3,,
LINC02054,,
KIR2DL2,,
KIR2DL1,,
KIR2DL1,,
KIR3DL3,,
KIR2DL4,,
KIR3DL3,,
FCAR,,
ADI1,,
TRAPPC12,,
KIR3DL1,,
OR9G4,,
OR5G3,,
OR9G3P,,
OR5G1P,,
OR5G4P,,
,,
OR9G2P,,
OR9G1,,
,,
U6,,
OR9G9,,
KIR3DP1,,
KIR2DP1,,
LINC02735,,
KIR2DS4,,
KIR3DP1,,
OR5G5P,,
LILRP1,,
,,
,,
KIR2DL4,,
KIR2DL3,,
,,
,,
LILRP1,,
,,
,,
,,
KIR2DS5,,
LILRP1,,
KIR3DL3,,
Y_RNA,,
LILRP2,,
Y_RNA,,
KIR2DL1,,
KIR2DP1,,
Metazoa_SRP,,
KIR3DP1,,
Metazoa_SRP,,
LILRP2,,
KIR2DS2,,
LILRP1,,
,,
KIR3DL3,,
KIR2DL5B,,
KIR2DL3,,
KIR2DS4,,
KIR2DL4,,
KIR2DL2,,
KIR2DL1,,
KIR3DL2,,
KIR3DP1,,
KIR3DL2,,
,,
RNA5-8SN5,,
5_8S_rRNA,,
,,
KIR3DL1,,
KIR3DL1,,
KIR2DL5B,,
NCR1,,
KIR3DL1,,
LILRP2,,
IMPDH1P5,,
KIR3DL2,,
DLG5,,
KIR2DS2,,
KIR2DS1,,
KIR2DS1,,
KIR3DL3,,
KIR3DP1,,
KIR2DL3,,
KIR2DL5A,,
,,
LILRP1,,
KIR2DL4,,
ZNF43,,
LILRP2,,
,,
DHX36,,
KIR3DL2,,
ZNF100,,
KIR3DS1,,
,,
KIR2DP1,,
KIR3DL1,,
KIR3DL2,,
CCNYL6,,
,,
BRI3BPP1,,
VN1R84P,,
PIWIL1,,
MTDHP4,,
,,
KRT18P40,,
,,
ZNF430,,
KIR2DS1,,
FCAR,,
KIR2DS3,,
,,
KIR2DL5A,,
,,
KIR2DL1,,
ARHGEF26,,
LILRP1,,
