Gene name,Zebrafish gene name,Zebrafish homology type
MT-TF,,
MT-RNR1,,
MT-TV,,
MT-RNR2,,
MT-TL1,,
MT-ND1,mt-nd1,ortholog_one2one
MT-TI,,
MT-TQ,,
MT-TM,,
MT-ND2,mt-nd2,ortholog_one2one
MT-TW,,
MT-TA,,
MT-TN,,
MT-TC,,
MT-TY,,
MT-CO1,mt-co1,ortholog_one2one
MT-TS1,,
MT-TD,,
MT-CO2,mt-co2,ortholog_one2one
MT-TK,,
MT-ATP8,,
MT-ATP6,mt-atp6,ortholog_one2one
MT-CO3,mt-co3,ortholog_one2one
MT-TG,,
MT-ND3,mt-nd3,ortholog_one2one
MT-TR,,
MT-ND4L,,
MT-ND4,mt-nd4,ortholog_one2one
MT-TH,,
MT-TS2,,
MT-TL2,,
MT-ND5,mt-nd5,ortholog_one2one
MT-ND6,mt-nd6,ortholog_one2one
MT-TE,,
MT-CYB,mt-cyb,ortholog_one2one
MT-TT,,
MT-TP,,
,,
INTS3,,
,,
KIR3DL1,,
KIR2DS4,,
KIR3DL1,,
,,
KIR2DS4,,
,,
KIR2DS5,,
LILRP2,,
LILRP2,,
KIR2DL4,,
,,
KIR2DS4,,
KIR3DP1,,
KIR2DL1,,
LILRP1,,
KIR2DL3,,
LILRP2,,
KIR2DS4,,
,,
LILRP2,,
,,
FCAR,,
KIR2DS3,,
,,
NCR1,,
KIR2DL4,,
KIR3DL2,,
LINC02109,,
KIR3DL1,,
KIR2DL2,,
,,
KIR2DL4,,
KIR2DL3,,
KIR3DL1,,
LILRP1,,
KIR2DL2,,
KIR2DL4,,
5S_rRNA,,
KIR3DL1,,
KIR2DL3,,
5_8S_rRNA,,
KIR2DL1,,
KIR3DL3,,
KIR2DL4,,
KIR2DL4,,
KIR2DS4,,
,,
KIR3DL2,,
KIR2DL4,,
PCMTD2,,
,,
KIR3DL2,,
KIR3DL1,,
KIR2DL2,,
,,
KIR3DL3,,
LILRP1,,
KIR2DL1,,
KIR2DS5,,
KIR3DP1,,
KIR2DP1,,
KIR2DL1,,
KIR2DS4,,
KIR2DS2,,
KIR3DP1,,
KIR2DL3,,
KIR3DL1,,
KIR2DL5B,,
,,
LILRP1,,
KIR3DL3,,
KIR2DL4,,
OPRL1,,
NPBWR2,,
,,
KIR3DL1,,
MYT1,,
KIR3DL3,,
KIR2DL4,,
KIR2DL1,,
KIR3DP1,,
KIR3DL1,,
KIR3DL3,,
KIR3DP1,,
KIR2DS2,,
PTCHD3,,
KIR3DL3,,
LILRP2,,
KIR3DL1,,
KIR3DS1,,
KIR2DL2,,
,,
ODAD2P1,,
FAM210CP,,
TRIAP1P1,,
U6,,
KIR3DL2,,
U6,,
,,
KIR2DL4,,
KIR3DP1,,
KIR3DP1,,
KIR2DS4,,
LILRP2,,
KIR2DP1,,
KIR2DL4,,
KIR2DS4,,
LILRP2,,
KIR2DL1,,
KIR3DP1,,
KIR2DS2,,
KIR2DS1,,
KIR2DS4,,
KIR2DL1,,
KIR3DL3,,
FCAR,,
KIR2DS1,,
KIR3DL3,,
KIR2DL5A,,
FCAR,,
LILRP2,,
KIR2DL3,,
KIR3DS1,,
KIR2DL5B,,
KIR3DL2,,
LILRP1,,
KIR2DP1,,
KIR2DS2,,
KIR2DS5,,
KIR3DP1,,
,,
KIR2DS4,,
LILRP1,,
,,
KIR2DL4,,
KIR2DL4,,
KIR2DL2,,
KIR3DL1,,
KIR2DL1,,
LILRP1,,
,,
KIR2DS2,,
KIR2DL5A,,
KIR3DL3,,
,,
,,
KIR2DP1,,
KIR2DS3,,
KIR3DL1,,
KIR3DL1,,
,,
,,
KIR3DL1,,
KIR2DL5A,,
KIR3DP1,,
KIR2DL1,,
KIR3DP1,,
KIR3DL2,,
KIR3DP1,,
LILRP1,,
KIR2DL4,,
LILRP1,,
KIR2DL2,,
KIR2DL4,,
KIR3DS1,,
NCR1,,
KIR3DL3,,
KIR2DP1,,
LILRP2,,
KIR3DL2,,
U6,,
KIR2DS5,,
KIR3DL2,,
KIR2DL5B,,
LILRP2,,
LILRP1,,
,,
KIR2DL3,,
KIR2DL3,,
NCR1,,
FCAR,,
KIR3DL3,,
LILRP2,,
KIR2DS2,,
KIR2DL5B,,
KIR2DL3,,
KIR3DP1,,
LILRP2,,
FCAR,,
KIR2DL1,,
KIR3DL3,,
KIR3DL3,,
,,
,,
,,
GEMIN2P1,,
GATAD2B,,
KIR2DL4,,
KIR3DL2,,
KIR2DL3,,
KIR2DP1,,
KIR2DL4,,
KIR2DL3,,
FCAR,,
,,
LILRP1,,
LILRP2,,
U6,,
KIR2DL1,,
,,
SLC27A3,,
KIR2DL2,,
KIR3DL2,,
KIR3DL2,,
KIR2DL1,,
KIR2DS1,,
KIR2DP1,,
KIR2DL3,,
KIR2DL1,,
