Gene name,Zebrafish gene name,Zebrafish homology type
ND1,mt-nd1,ortholog_one2one
ND2,mt-nd2,ortholog_one2one
COX1,mt-co1,ortholog_one2one
COX2,mt-co2,ortholog_one2one
ATP6,mt-atp6,ortholog_one2one
COX3,mt-co3,ortholog_one2one
ND3,mt-nd3,ortholog_one2one
ND4L,mt-nd4l,ortholog_one2one
ND4,mt-nd4,ortholog_one2one
ND5,mt-nd5,ortholog_one2one
CYTB,mt-cyb,ortholog_one2one
ND6,mt-nd6,ortholog_one2one
PDIA3,pdia3,ortholog_one2one
,fkbp16,ortholog_one2one
CKMT1B,ckmt1,ortholog_one2one
PPIP5K1,ppip5k1b,ortholog_one2many
PPIP5K1,ppip5k1a,ortholog_one2many
MAP1A,map1aa,ortholog_one2many
MAP1A,map1ab,ortholog_one2many
TP53BP1,tp53bp1,ortholog_one2one
TUBGCP4,tubgcp4,ortholog_one2one
IQGAP3,iqgap1,ortholog_one2one
MAN2A2,man2a2,ortholog_one2one
FES,fes,ortholog_one2one
CIB1,cib1,ortholog_one2one
GDPGP1,GDPGP1,ortholog_one2one
HDDC3,hddc3,ortholog_one2one
VPS33B,vps33b,ortholog_one2one
PRC1,prc1a,ortholog_one2many
PRC1,prc1b,ortholog_one2many
UNC45A,unc45a,ortholog_one2one
FURIN,furinb,ortholog_one2many
FURIN,furina,ortholog_one2many
MFAP1,mfap1,ortholog_one2one
HYPK,hypk,ortholog_one2one
SERINC4,serinc4,ortholog_one2one
,zgc:162879,ortholog_one2one
SERF2,serf2,ortholog_one2many
SERF2,SERF2,ortholog_one2many
,flnca,ortholog_one2many
,flncb,ortholog_one2many
,vax2,ortholog_one2one
,syn2b,ortholog_many2many
,syn1,ortholog_many2many
,tlcd3bb,ortholog_one2many
,tlcd3ba,ortholog_one2many
,pip4p1a,ortholog_one2many
,pip4p1b,ortholog_one2many
,pnp5a,ortholog_one2many
,pnp5b,ortholog_one2many
,jph2,ortholog_one2many
INPPL1,inppl1a,ortholog_one2one
,arhgef1b,ortholog_one2one
CACNA1F,cacna1fb,ortholog_one2one
,cratb,ortholog_one2one
,apex1,ortholog_one2one
,mrps24,ortholog_one2many
,osgep,ortholog_one2one
,zgc:55413,ortholog_one2many
,zgc:66024,ortholog_one2many
,PPT2,ortholog_one2many
,zgc:55621,ortholog_one2many
,ppt2,ortholog_one2many
USP39,usp39,ortholog_one2one
,ikbkg,ortholog_one2one
,sftpbb,ortholog_many2many
,sftpba,ortholog_many2many
SEPHS3,sephs2,ortholog_one2one
,chd3,ortholog_one2one
,slc22a6l,ortholog_one2many
SCARF2,SCARF2,ortholog_one2one
PRODH,prodhb,ortholog_one2many
PRODH,prodha,ortholog_one2many
ACADM,acadm,ortholog_one2one
,cdipt,ortholog_one2one
,ganab,ortholog_one2many
,GANAB,ortholog_one2many
B3GAT3,b3gat3,ortholog_one2one
TBX5,tbx5b,ortholog_one2many
TBX5,tbx5a,ortholog_one2many
,zgc:92040,ortholog_one2one
NF2,nf2a,ortholog_one2one
MAZ,,ortholog_one2many
MAZ,maza,ortholog_one2many
CDC42EP2,cdc42ep2,ortholog_one2one
PFDN6,pfdn6,ortholog_one2one
DPF2,dpf2,ortholog_one2many
DPF2,dpf2l,ortholog_one2many
,b3galt4,ortholog_one2many
NIPSNAP1,nipsnap1,ortholog_one2one
,eif3c,ortholog_one2many
THOC5,thoc5,ortholog_one2one
,zgc:162613,ortholog_one2many
KSR2,ksr2,ortholog_one2one
GAL3ST1,gal3st1b,ortholog_one2many
GAL3ST1,gal3st1a,ortholog_one2many
,sec14l7,ortholog_many2many
RNF215,rnf215,ortholog_one2one
CCDC157,ccdc157,ortholog_one2one
SF3A1,sf3a1,ortholog_one2one
TBC1D10A,tbc1d10aa,ortholog_one2many
TBC1D10A,tbc1d10ab,ortholog_one2many
MYBPC2,mybpc2b,ortholog_one2one
,fuz,ortholog_one2one
,gapdhs,ortholog_one2one
,tmem147,ortholog_one2one
HORMAD2,hormad1,ortholog_one2many
HNRNPKL,hnrnpk,ortholog_many2many
HNRNPKL,hnrpkl,ortholog_many2many
MTMR3,mtmr3,ortholog_one2many
gga-mir-7b,dre-mir-7b,ortholog_one2many
,gps2,ortholog_one2one
RTN4R,rtn4r,ortholog_one2one
,nphs1,ortholog_one2one
,gtf2h4,ortholog_one2one
OSBP2,OSBP2,ortholog_one2one
MYLPF,mylpfa,ortholog_one2many
MYLPF,mylpfb,ortholog_one2many
TCN2,tcn2,ortholog_one2one
