Gene name,Human gene name,Human homology type
mt-Tf,,
mt-Rnr1,,
mt-Tv,,
mt-Rnr2,,
mt-Tl1,,
mt-Nd1,MT-ND1,ortholog_one2one
mt-Ti,,
mt-Tq,,
mt-Tm,,
mt-Nd2,MT-ND2,ortholog_one2one
mt-Tw,,
mt-Ta,,
mt-Tn,,
mt-Tc,,
mt-Ty,,
mt-Co1,MT-CO1,ortholog_one2one
mt-Ts1,,
mt-Td,,
mt-Co2,MT-CO2,ortholog_one2one
mt-Tk,,
mt-Atp8,MT-ATP8,ortholog_one2one
mt-Atp6,MT-ATP6,ortholog_one2one
mt-Co3,MT-CO3,ortholog_one2one
mt-Tg,,
mt-Nd3,MT-ND3,ortholog_one2one
mt-Tr,,
mt-Nd4l,MT-ND4L,ortholog_one2one
mt-Nd4,MT-ND4,ortholog_one2one
mt-Th,,
mt-Ts2,,
mt-Tl2,,
mt-Nd5,MT-ND5,ortholog_one2one
mt-Nd6,MT-ND6,ortholog_one2one
mt-Te,,
mt-Cytb,MT-CYB,ortholog_one2one
mt-Tt,,
mt-Tp,,
,,
,,
,,
,,
,PRAMEF5,ortholog_many2many
,PRAMEF8,ortholog_many2many
,PRAMEF4,ortholog_many2many
,PRAMEF13,ortholog_many2many
,PRAMEF20,ortholog_many2many
,PRAMEF2,ortholog_many2many
,PRAMEF9,ortholog_many2many
,PRAMEF1,ortholog_many2many
,PRAMEF7,ortholog_many2many
,PRAMEF18,ortholog_many2many
,PRAMEF27,ortholog_many2many
,PRAMEF19,ortholog_many2many
,PRAMEF26,ortholog_many2many
,PRAMEF14,ortholog_many2many
,PRAMEF33,ortholog_many2many
,PRAMEF11,ortholog_many2many
,PRAMEF15,ortholog_many2many
,PRAMEF25,ortholog_many2many
,PRAMEF12,ortholog_many2many
,PRAMEF10,ortholog_many2many
,PRAMEF6,ortholog_many2many
,PRAMEF17,ortholog_many2many
,PRAMEF5,ortholog_many2many
,PRAMEF8,ortholog_many2many
,PRAMEF4,ortholog_many2many
,PRAMEF13,ortholog_many2many
,PRAMEF20,ortholog_many2many
,PRAMEF2,ortholog_many2many
,PRAMEF9,ortholog_many2many
,PRAMEF1,ortholog_many2many
,PRAMEF7,ortholog_many2many
,PRAMEF18,ortholog_many2many
,PRAMEF27,ortholog_many2many
,PRAMEF19,ortholog_many2many
,PRAMEF26,ortholog_many2many
,PRAMEF14,ortholog_many2many
,PRAMEF33,ortholog_many2many
,PRAMEF11,ortholog_many2many
,PRAMEF15,ortholog_many2many
,PRAMEF25,ortholog_many2many
,PRAMEF12,ortholog_many2many
,PRAMEF10,ortholog_many2many
,PRAMEF6,ortholog_many2many
,PRAMEF17,ortholog_many2many
,,
,,
,,
,,
,SP100,ortholog_one2many
,PRAMEF5,ortholog_many2many
,PRAMEF8,ortholog_many2many
,PRAMEF4,ortholog_many2many
,PRAMEF13,ortholog_many2many
,PRAMEF20,ortholog_many2many
,PRAMEF2,ortholog_many2many
,PRAMEF9,ortholog_many2many
,PRAMEF1,ortholog_many2many
,PRAMEF7,ortholog_many2many
,PRAMEF18,ortholog_many2many
,PRAMEF27,ortholog_many2many
,PRAMEF19,ortholog_many2many
,PRAMEF26,ortholog_many2many
,PRAMEF14,ortholog_many2many
,PRAMEF33,ortholog_many2many
,PRAMEF11,ortholog_many2many
,PRAMEF15,ortholog_many2many
,PRAMEF25,ortholog_many2many
,PRAMEF12,ortholog_many2many
,PRAMEF10,ortholog_many2many
,PRAMEF6,ortholog_many2many
,PRAMEF17,ortholog_many2many
,PRAMEF5,ortholog_many2many
,PRAMEF8,ortholog_many2many
,PRAMEF4,ortholog_many2many
,PRAMEF13,ortholog_many2many
,PRAMEF20,ortholog_many2many
,PRAMEF2,ortholog_many2many
,PRAMEF9,ortholog_many2many
,PRAMEF1,ortholog_many2many
,PRAMEF7,ortholog_many2many
,PRAMEF18,ortholog_many2many
,PRAMEF27,ortholog_many2many
,PRAMEF19,ortholog_many2many
,PRAMEF26,ortholog_many2many
,PRAMEF14,ortholog_many2many
,PRAMEF33,ortholog_many2many
,PRAMEF11,ortholog_many2many
,PRAMEF15,ortholog_many2many
,PRAMEF25,ortholog_many2many
,PRAMEF12,ortholog_many2many
,PRAMEF10,ortholog_many2many
,PRAMEF6,ortholog_many2many
,PRAMEF17,ortholog_many2many
,,
,SP110,ortholog_one2many
,SP110,ortholog_one2many
,PRAMEF5,ortholog_many2many
,PRAMEF8,ortholog_many2many
,PRAMEF4,ortholog_many2many
,PRAMEF13,ortholog_many2many
,PRAMEF20,ortholog_many2many
,PRAMEF2,ortholog_many2many
,PRAMEF9,ortholog_many2many
,PRAMEF1,ortholog_many2many
,PRAMEF7,ortholog_many2many
,PRAMEF18,ortholog_many2many
,PRAMEF27,ortholog_many2many
